Spec,T/P/*,Spec Text,Diagram,Question,A,B,C,D,Answer
1.17,*,,,A car of mass 1500 kg accelerates constantly from rest for 5 seconds reaching a final speed of 20 m/s. Find the net driving force acting on the car during acceleration.,6000 N,375 N,30000 N,600 N,A
1.18,-,,,An object is moved from the Earth to Jupiter. Which statement is true?,mass and weight stay the same,both mass and weight will change,weight will increase,mass will increase,C
1.18,-,,,A box full of bricks weighs 128 N on moon and has a mass of 80 kg. The gravitational pull of the moon is,40 N/kg,1.28 N/kg,50 N/kg,1.6 N/kg,D
1.18,-,,,"A person of mass 50 kg flies to the moon, what would his weight be on the moon (moon's gravity = 1.6 N/kg)",31.25 N,500 N,51.6 N,80 N,D
1.18,-,,,The surface gravity of a planet is about 20 N/kg. What would be the weight of an object of mass 500g at its surface?,10 N,1000 N,40 N ,25 N,A
1.19,-,,,A car travelling at 30 m/s has a stopping distance of 90 m. The thinking distance is 20 m. Calculate the braking distance of the car.,70 m,80 m,110 m,140 m,A
1.20,-,  ,,Which of these pairs both affect braking distance?,speed and reaction time,speed and road condition,mass and tiredness,mass and reaction time,B
1.22,P,,,What error should be avoided when measuring extension?,parallel viewing,vertical ruler,parallax error,stationary spring,C
1.22,P,,Y,"Different weights are hung from a spring. The diagram shows the original length of the spring, and the lengths when different weights are added. The extension of the spring is directly proportional to the weight hung from it. What is the weight of W?",30 N,35 N,40 N ,45 N,C
1.23,-,,,At what point does Hooke’s law stop being obeyed?,limit of proportionality,elastic limit,limit of elasticity,plastic limit,A
1.23,-,,,Hooke's law states that…,force and length are directly proportional,force and extension are directly proportional,extension decreases with added force,"as force doubles, extension halves",B
1.24,-,,,What will an elastic material do?,stretch a very long way,return to its original length,obey Hooke's law,compress in a linear way,B
1.25,T,,,A toy car has a mass of 500g and a momentum of 1.5 kg m/s. What speed is it travelling at?,3 m/s,0.75 m/s,0.003 m/s,0.33 m/s,A
1.25,T*, ,,The momentum and kinetic energy of a moving object are 8 kg m/s and 12 J respectively. What is the speed of the object?,2 m/s,3 m/s,4 m/s,5 m/s,B
1.27,T,,,Object A of mass 3 kg lying at rest on a smooth surface is hit by object B of mass 1 kg moving to the right with a speed 5 m/. After the collision A moves to the right with a speed of 2 m/s. How does B move after the collision?,B moves to the right with a speed of 1 m/s,B moves to the left with a speed of 1 m/s,B moves to the left with a speed of 2 m/s,B moves to the left with a speed of 3 m/s,B
1.28,T,,,"In an accident, a car travelling at a speed of 20 m/s knocks against a wall. The driver of mass 60 kg is stopped by the airbag in 1.2 s. During the accident, what force is the driver subject to?",1000 N,1440 N,3.6 N,1200 N,A
1.30,T,,Y,"The diagrams show three uniform bearms P,Q and R, each pivoted at its centre. The two forces acting on each beam are also shown. Which beams rotate clockwise?",P and Q only,P and R only ,Q and R only,"P, Q and R",C
2.02,-,,,What is the safety device that limits the current flow in a plug,cable grip ,earth wire,insulation ,fuse,D
2.02,-,,,"A hair dryer has a case made of plastic. It only needs 2 wires for safe use, and does not need an earth wire. What are devices like this called?",neutral devices,safety checked,current controlled,double insulated,D
2.04,-,,,A circuit has a current of 50 mA and voltage of 10 V. Calculate the power output?,5 W,200 W,500 W,0.5 W,D
2.04,*,,,An electric bulb has a rating of 220 V and 40 W. Find the resistance of the bulb when it is working at its rated value.,1210 Ω,807 Ω,7.3 Ω,5.5 Ω,A
2.05,-,,,"A battery and a bulb form a closed circuit. The e.m.f. of the battery is 9 V, and a current of 2 A flows in the circuit. How much energy is supplied by the battery in 1 minute?",18 J,120 J,540 J,1080 J,D
2.09,-,,Y,The diagrams show four current-voltage graphs. Which two graphs show the characteristics of an ohmic resistor and of a filament lamp?,W and Y,X and Y ,W and Z,X and Z,B
2.10,-,,,Which of the following statements concerning resistance are correct? 1 The resistance of an object is the voltage required to drive a current of 1 A through the object. 2 The unit of resistance is (Ω) which is equivalent to V/A. 3 The resistance of a metal wire is independent of the temperature of the wire. ,1 and 2 only,1 and 3 only,2 and 3 only ,"1,2 and 3 ",A
2.10,,,,Which of these circuits will draw the largest current from a cell? Assuming all bulbs are identical.,2 bulbs in parallel,2 bulbs in series,3 bulbs in series,1 bulb on its own ,A
2.13,-,,,A thermistor has a voltage of 13.2 V and a current of 2.60 mA. Calculate the resistance of the thermistor?,5 Ω,34 Ω,5000 Ω,5x10-6 Ω,C
2.14,-,,,Which of the following statements about an electric current are correct? 1 An electric current is a flow of charges 2 An electric current in a metal is a flow of negatively charged particles. 3 The unit of electric current is coulomb.,1 and 2 only,1 and 3 only,2 and 3 only ,"1,2 and 3 ",A
2.15,-,,,"When a filament lamp is switched on, it draws a current of 50 mA. How much charge passes through the filament lamp in 1 hour?",50 C,180 C,3 C,1.8x10+5 C,B
2.18,-,,Y,The circuit diagram shows a 4.0 Ω resistor and an 8.0 Ω resistor connected to a 6.0 V battery. What is the potential difference (p.d.) across the 4.0 Ω resistor?,0.5 V,2.0 V,4.0 V,6.0 V,D
2.19,-,,Y,What is the reading on the ammeter in the diagram?,6 A,48 A,3 A,0.33 A,C
2.20,-,,,Which of the following statements about voltage are correct? 1 Voltage is the energy transferred per unit charge passed. 2 The volt is a joule per coulomb. 3 The voltage across two components connected in parallel is the same. ,1 and 2 only,1 and 3 only,2 and 3 only ,"1,2 and 3 ",D
2.21,-,,,What is the charge when 10 kJ of energy is transferred through a lamp with 10 V applied across it?,1 C,100 C,1000 C,100000 C,C
2.22,T,,,Which of these is not a conductor of electricity?,graphite,steel,sea water,plastic,D
2.22,T,,,Static electricity can be produced by friction on?,conductors only,insulators only ,conductors and insulators ,neither conductors or insulators,B
2.24,T,,Y,A positively charged rod is brought close to one end of a neutal metallic plate. What type of charge is induced on the closest side of the plate?,positive,negative,neutral ,it depends of the separation between the rod and the plate,B
2.27,T,,,Sparks can be produced by friction due to static electricity. Which of these best describes a reasonable potential hazard of static electricity?,possible fatal shock from the spark,force produced by spark can knock a person over,igniting fuel at a petrol station,spark can produce a surge in kitchen appliances and destroy them,C
2.28,T,,,Static electricity can be problem but which of these applications uses static electricity?,radiotherapy treatments,ink jet printers,mobile phones,loudspeakers,B
3.02,-,,,Longitudinal waves vibrate…,parallel to the direction of energy transfer,perpendicular to the direction of energy transfer,sideways alongside the wavelength,up and down alongside the amplitude,A
3.03,-,,Y,Which line correctly gives the values shown on the diagram?,amplitude = 15cm wavelength 20m,amplitude = 15cm time period 20s,amplitude = 30cm wavelength 10m,amplitude = 30cm time period 10s,B
3.03,-,,,Definition of amplitude is…,the number of waves passing a point in one second,the time it takes for one wave to pass,the maximum displacement from the midpoint,the length of one complete wave,C
3.03,-,,,Definition of time period is…,the number of waves passing a point in one second,the time it takes for one wave to pass,the maximum displacement from the midpoint,the length of one complete wave,B
3.04,-,,,Electromagnetic waves carry,positive charge,negative charge,energy,both positive and negative charge,C
3.05,-,,,What is the wavelength if frequency is 34kHz and wavespeed is 1600m/s?,47 m,54400 m,0.047 m,21.25 m,C
3.05,-,,,"If frequency is 12MHz and wavelength is 4mm, the wave speed is…",48 m/s,3 m/s,48000 m/s,4x10^9 m/s,C
3.06,-,,,What is the speed of a wave with time period 2s and wavelength 4m?,2 m/s,8 m/s,1 m/s,0.5 m/s,A
3.06,-,,,"If the time period is 50μs, what is the frequency?",20000 Hz,20 Hz,0.02 Hz,0.00002 Hz,A
3.08,-,,,What is the Doppler effect?,the change in the observed wavelength and frequency of a source which is stationary relative to an observer ,the change in the observed wavelength and frequency of a source which is moving relative to an observer ,the change only in the observed wavelength of a source which is stationary relative to an observer ,the change only in the observed frequency of a source which is stationary relative to an observer ,B
3.10,-,,,Electromagnetic spectrum comprises,transverse waves,longitudinal waves,both transverse and longitudinal,latitudinal waves,A
3.10,-,,,Electromagnetic waves travel,without medium,with medium,with medium and without medium,in a disturbed path,C
3.11,-,,,Which has the longest wavelength?,radio waves,infrared,ultraviolet,gamma rays,A
3.11,-,,,Electromagnetic wave with lowest frequency is,radio waves,infrared,ultraviolet,gamma rays,A
3.12,-,,,Why are x-rays used for medical imaging?,bones transmit x rays,bones reflect x rays,bones absorb x rays ,bones refract x rays,C
3.12,-,,,Which part of the EM spectrum is used for communications via satellites?,radio,microwaves,IR,visible light,B
3.13,-,,,Which shows the correct order from most dangerous to least dangerous?,"radio, visible, gamma","gamma, radio, visible","gamma, visible, radio","radio, gamma, visible",C
3.13,-,,,Which three parts of the EM spectrum can cause cancer?,"microwaves, x rays, gamma","radio, microwaves, IR","gamma, x rays, UV","UV, x rays, visible",C
3.14,-,,,Examples of transverse waves are..,"sound, light and water","ultrasound, microwaves and seismic","radio, water and light",sound and ultrasound,C
3.17,-,,Y,"A ray of light is shone on a rectangular glass block as shown. Identify A, B and C.",A - angle of refraction. B - angle of incidence. C - Normal.,A - angle of incidence. B - angle of refraction. C - Normal.,A - Normal. B - angle of refraction. C - angle of incidence,A - angle of incidence. B - angle of reflection. C - Normal.,B
3.23,-,,,Examples of longitudinal waves are…,"sound, light and water","ultrasound, microwaves and seismic","radio, water and light",sound and ultrasound,D
3.28,T,,,"The higher the frequency of a sound wave, the…",longer the wavelength,larger the amplitude,quieter the sound,higher the pitch,D
